date,region,product,inventory_level
2026-06-25,North,Standard_Widget,2000
2026-06-25,East,Budget_Widget,5000
2026-06-26,North,Standard_Widget,2000
2026-06-26,East,Budget_Widget,5000
2026-06-27,North,Standard_Widget,2000
2026-06-27,East,Budget_Widget,5000
2026-06-28,North,Standard_Widget,2000
2026-06-28,East,Budget_Widget,5000
2026-06-29,North,Standard_Widget,2000
2026-06-29,East,Budget_Widget,5000
2026-06-30,North,Standard_Widget,2000
2026-06-30,East,Budget_Widget,5000
2026-07-01,North,Standard_Widget,2000
2026-07-01,East,Budget_Widget,5000
2026-07-02,North,Standard_Widget,2000
2026-07-02,East,Budget_Widget,5000
2026-07-03,North,Standard_Widget,2000
2026-07-03,East,Budget_Widget,5000
2026-07-04,North,Standard_Widget,2000
2026-07-04,East,Budget_Widget,5000
2026-07-05,North,Standard_Widget,2000
2026-07-05,East,Budget_Widget,5000
2026-07-06,North,Standard_Widget,2000
2026-07-06,East,Budget_Widget,5000
2026-07-07,North,Standard_Widget,2000
2026-07-07,East,Budget_Widget,5000
2026-07-08,North,Standard_Widget,2000
2026-07-08,East,Budget_Widget,5000
2026-07-09,North,Standard_Widget,2000
2026-07-09,East,Budget_Widget,5000
2026-07-10,North,Standard_Widget,2000
2026-07-10,East,Budget_Widget,5000
2026-07-11,North,Standard_Widget,2000
2026-07-11,East,Budget_Widget,5000
2026-07-12,North,Standard_Widget,2000
2026-07-12,East,Budget_Widget,5000
2026-07-13,North,Standard_Widget,2000
2026-07-13,East,Budget_Widget,5000
2026-07-14,North,Standard_Widget,2000
2026-07-14,East,Budget_Widget,5000
2026-07-15,North,Standard_Widget,2000
2026-07-15,East,Budget_Widget,5000
2026-07-16,North,Standard_Widget,2000
2026-07-16,East,Budget_Widget,5000
2026-07-17,North,Standard_Widget,2000
2026-07-17,East,Budget_Widget,5000
2026-07-18,North,Standard_Widget,2000
2026-07-18,East,Budget_Widget,5000
2026-07-19,North,Standard_Widget,2000
2026-07-19,East,Budget_Widget,5000
2026-07-20,North,Standard_Widget,2000
2026-07-20,East,Budget_Widget,5000
2026-07-21,North,Standard_Widget,2000
2026-07-21,East,Budget_Widget,5000
2026-07-22,North,Standard_Widget,2000
2026-07-22,East,Budget_Widget,5000
2026-07-23,North,Standard_Widget,2000
2026-07-23,East,Budget_Widget,5000
2026-07-24,North,Standard_Widget,2000
2026-07-24,East,Budget_Widget,5000
2026-07-25,North,Standard_Widget,2000
2026-07-25,East,Budget_Widget,5000
2026-07-26,North,Standard_Widget,2000
2026-07-26,East,Budget_Widget,5000
2026-07-27,North,Standard_Widget,2000
2026-07-27,East,Budget_Widget,5000
2026-07-28,North,Standard_Widget,2000
2026-07-28,East,Budget_Widget,5000
2026-07-29,North,Standard_Widget,2000
2026-07-29,East,Budget_Widget,5000
2026-07-30,North,Standard_Widget,2000
2026-07-30,East,Budget_Widget,5000
2026-07-31,North,Standard_Widget,2000
2026-07-31,East,Budget_Widget,5000
2026-08-01,North,Standard_Widget,2000
2026-08-01,East,Budget_Widget,5000
2026-08-02,North,Standard_Widget,2000
2026-08-02,East,Budget_Widget,5000
2026-08-03,North,Standard_Widget,2000
2026-08-03,East,Budget_Widget,5000
2026-08-04,North,Standard_Widget,2000
2026-08-04,East,Budget_Widget,5000
2026-08-05,North,Standard_Widget,2000
2026-08-05,East,Budget_Widget,5000
2026-08-06,North,Standard_Widget,2000
2026-08-06,East,Budget_Widget,5000
2026-08-07,North,Standard_Widget,2000
2026-08-07,East,Budget_Widget,5000
2026-08-08,North,Standard_Widget,2000
2026-08-08,East,Budget_Widget,5000
2026-08-09,North,Standard_Widget,2000
2026-08-09,East,Budget_Widget,5000
2026-08-10,North,Standard_Widget,2000
2026-08-10,East,Budget_Widget,5000
2026-08-11,North,Standard_Widget,2000
2026-08-11,East,Budget_Widget,5000
2026-08-12,North,Standard_Widget,2000
2026-08-12,East,Budget_Widget,5000
2026-08-13,North,Standard_Widget,2000
2026-08-13,East,Budget_Widget,5000
2026-08-14,North,Standard_Widget,2000
2026-08-14,South,Premium_Widget,500
2026-08-14,East,Budget_Widget,5000
2026-08-15,North,Standard_Widget,2000
2026-08-15,South,Premium_Widget,500
2026-08-15,East,Budget_Widget,5000
2026-08-16,North,Standard_Widget,2000
2026-08-16,South,Premium_Widget,500
2026-08-16,East,Budget_Widget,5000
2026-08-17,North,Standard_Widget,2000
2026-08-17,South,Premium_Widget,500
2026-08-17,East,Budget_Widget,5000
2026-08-18,North,Standard_Widget,2000
2026-08-18,South,Premium_Widget,500
2026-08-18,East,Budget_Widget,5000
2026-08-19,North,Standard_Widget,2000
2026-08-19,South,Premium_Widget,500
2026-08-19,East,Budget_Widget,5000
2026-08-20,North,Standard_Widget,2000
2026-08-20,South,Premium_Widget,500
2026-08-20,East,Budget_Widget,5000
2026-08-21,North,Standard_Widget,2000
2026-08-21,South,Premium_Widget,500
2026-08-21,East,Budget_Widget,5000
2026-08-22,North,Standard_Widget,2000
2026-08-22,South,Premium_Widget,500
2026-08-22,East,Budget_Widget,5000
2026-08-23,North,Standard_Widget,2000
2026-08-23,South,Premium_Widget,500
2026-08-23,East,Budget_Widget,5000
